Socket,Algorithm,Start Time,End Time,Execution Time,Power,Current,Voltage,Memory,CPU Usage,Read Bytes,Write Bytes,Signature,Num Files,Size,Avg File Size,CPU Count,Total RAM,Available RAM,System CPU,System Memory,Time Per File,Throughput
rpi4,SLH_DSA_PURE_SHAKE_256F,2026-01-15 17:17:52.151203,2026-01-15 17:18:05.352676,13.201449073000049,3.7608000000000006,0.0462,115.9574,320.1463975906372,99.83752485896488,325059000,0,249280,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.1,2.6352179055999843,23.52746612272426
rpi4,cross-rsdp-128-balanced,2026-01-15 17:18:06.365039,2026-01-15 17:18:11.788297,5.423238571999946,3.741,0.048,116.1035,320.0438632965088,100.12467509791946,325059000,0,65760,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.2,1.082440297800008,57.277985793776445
rpi4,cross-rsdp-128-fast,2026-01-15 17:18:12.800796,2026-01-15 17:18:18.214136,5.413318097000001,3.77,0.048,115.747,320.0559024810791,99.75397534818109,325059001,0,92160,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.1,1.0811231009999802,57.347770982465704
rpi4,cross-rsdp-128-small,2026-01-15 17:18:19.226618,2026-01-15 17:18:24.688739,5.4621023030000515,3.754,0.048,116.0205,320.04179191589355,99.96151110170726,325059001,0,62160,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.0909483233999937,56.83128950303895
rpi4,cross-rsdp-192-balanced,2026-01-15 17:18:25.701247,2026-01-15 17:18:32.007816,6.306550807999997,3.611333333333333,0.04533333333333334,115.97033333333333,320.0916967391968,99.8961269289754,325059001,0,149265,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.2597899503999996,49.214553569278905
rpi4,cross-rsdp-192-fast,2026-01-15 17:18:33.021125,2026-01-15 17:18:39.273316,6.252172244999997,3.726,0.048,116.178,320.122727394104,99.96525615554296,325059001,0,207030,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.2,1.248899219399982,49.64371747288554
rpi4,cross-rsdp-192-small,2026-01-15 17:18:40.285917,2026-01-15 17:18:46.615930,6.329993504999948,3.4789999999999996,0.044000000000000004,116.08133333333335,320.0877161026001,99.84212456154896,325059001,0,141955,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.0,1.2645197086000053,49.0304734503841
rpi4,cross-rsdp-256-balanced,2026-01-15 17:18:47.628319,2026-01-15 17:18:54.044385,6.416047058000004,3.8129999999999997,0.048,116.0535,320.15969371795654,99.90575103415937,325059001,0,267635,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.1,1.2816417562000424,48.3754525787492
rpi4,cross-rsdp-256-fast,2026-01-15 17:18:55.056901,2026-01-15 17:19:01.389160,6.332240572000046,3.2809999999999997,0.041499999999999995,116.1365,320.2199077606201,99.9646164422438,325059001,0,372950,5,310.0,62.0,4,7812.31640625,7118.9453125,0.0,9.1,1.2649586218000195,49.01346093975376
rpi4,cross-rsdp-256-small,2026-01-15 17:19:02.401711,2026-01-15 17:19:08.923608,6.521877060000065,3.8255,0.048,115.697,320.1519317626953,99.81788893150248,325059001,0,254090,5,310.0,62.0,4,7812.31640625,7118.9453125,0.2,9.1,1.3028750862000151,47.58706391479948
